ScenarioId	StepNumber	Replication	Time	AssetType	AssetUnitId	Location	Lat	Lon
0	1	1	06/20/2016 00:00:00	"TRUCK"	95	"DC_1"	49.192050	16.613180
0	1	1	06/20/2016 00:00:00	"TRUCK"	99	"DC_4"	51.922900	4.470560
0	1	1	06/20/2016 04:12:59	"TRUCK"	99	"CZ_1"	51.513340	-0.088930
0	1	1	06/20/2016 06:04:44	"TRUCK"	95	"CZ_8"	52.234970	21.008490
0	1	1	06/20/2016 08:25:58	"TRUCK"	99	"DC_4"	51.922900	4.470560
0	1	1	06/20/2016 12:09:28	"TRUCK"	95	"DC_1"	49.192050	16.613180
0	1	1	06/21/2016 00:00:00	"TRUCK"	2	"DC_1"	49.192050	16.613180
0	1	1	06/21/2016 00:00:00	"TRUCK"	3	"DC_4"	51.922900	4.470560
0	1	1	06/21/2016 05:27:21	"TRUCK"	3	"CZ_6"	53.553850	9.991670
0	1	1	06/21/2016 05:43:28	"TRUCK"	2	"CZ_2"	52.523430	13.411450
0	1	1	06/21/2016 10:54:42	"TRUCK"	3	"DC_4"	51.922900	4.470560
0	1	1	06/21/2016 11:26:56	"TRUCK"	2	"DC_1"	49.192050	16.613180
0	1	1	06/22/2016 00:00:00	"TRUCK"	100	"DC_6"	43.295020	5.374470
0	1	1	06/22/2016 00:00:00	"TRUCK"	11	"DC_1"	49.192050	16.613180
0	1	1	06/22/2016 03:27:41	"TRUCK"	11	"CZ_7"	47.498150	19.040550
0	1	1	06/22/2016 06:55:22	"TRUCK"	11	"DC_1"	49.192050	16.613180
0	1	1	06/22/2016 07:57:55	"TRUCK"	100	"CZ_4"	41.890550	12.494260
0	1	1	06/22/2016 15:55:50	"TRUCK"	100	"DC_6"	43.295020	5.374470
0	1	1	06/23/2016 00:00:00	"TRUCK"	6	"DC_1"	49.192050	16.613180
0	1	1	06/23/2016 00:00:00	"TRUCK"	1	"DC_4"	51.922900	4.470560
0	1	1	06/23/2016 04:12:59	"TRUCK"	1	"CZ_1"	51.513340	-0.088930
0	1	1	06/23/2016 06:04:44	"TRUCK"	6	"CZ_8"	52.234970	21.008490
0	1	1	06/23/2016 08:25:58	"TRUCK"	1	"DC_4"	51.922900	4.470560
0	1	1	06/23/2016 12:09:28	"TRUCK"	6	"DC_1"	49.192050	16.613180
0	1	1	06/24/2016 00:00:00	"TRUCK"	7	"DC_1"	49.192050	16.613180
0	1	1	06/24/2016 00:00:00	"TRUCK"	15	"DC_4"	51.922900	4.470560
0	1	1	06/24/2016 05:27:21	"TRUCK"	15	"CZ_6"	53.553850	9.991670
0	1	1	06/24/2016 05:43:28	"TRUCK"	7	"CZ_2"	52.523430	13.411450
0	1	1	06/24/2016 10:54:42	"TRUCK"	15	"DC_4"	51.922900	4.470560
0	1	1	06/24/2016 11:26:56	"TRUCK"	7	"DC_1"	49.192050	16.613180
0	1	1	06/25/2016 00:00:00	"TRUCK"	10	"DC_6"	43.295020	5.374470
0	1	1	06/25/2016 00:00:00	"TRUCK"	8	"DC_1"	49.192050	16.613180
0	1	1	06/25/2016 00:00:00	"TRUCK"	18	"DC_4"	51.922900	4.470560
0	1	1	06/25/2016 00:00:00	"TRUCK"	14	"DC_4"	51.922900	4.470560
0	1	1	06/25/2016 03:27:41	"TRUCK"	8	"CZ_7"	47.498150	19.040550
0	1	1	06/25/2016 04:12:59	"TRUCK"	14	"CZ_1"	51.513340	-0.088930
0	1	1	06/25/2016 04:56:01	"TRUCK"	18	"CZ_5"	48.856910	2.350850
0	1	1	06/25/2016 06:55:22	"TRUCK"	8	"DC_1"	49.192050	16.613180
0	1	1	06/25/2016 08:25:58	"TRUCK"	14	"DC_4"	51.922900	4.470560
0	1	1	06/25/2016 09:52:02	"TRUCK"	18	"DC_4"	51.922900	4.470560
0	1	1	06/25/2016 10:42:34	"TRUCK"	10	"CZ_3"	40.416690	-3.700320
0	1	1	06/25/2016 21:25:08	"TRUCK"	10	"DC_6"	43.295020	5.374470
0	1	1	06/27/2016 00:00:00	"TRUCK"	9	"DC_4"	51.922900	4.470560
0	1	1	06/27/2016 05:27:21	"TRUCK"	9	"CZ_6"	53.553850	9.991670
0	1	1	06/27/2016 10:54:42	"TRUCK"	9	"DC_4"	51.922900	4.470560
0	1	1	06/28/2016 00:00:00	"TRUCK"	12	"DC_1"	49.192050	16.613180
0	1	1	06/28/2016 00:00:00	"TRUCK"	16	"DC_4"	51.922900	4.470560
0	1	1	06/28/2016 03:27:41	"TRUCK"	12	"CZ_7"	47.498150	19.040550
0	1	1	06/28/2016 04:56:01	"TRUCK"	16	"CZ_5"	48.856910	2.350850
0	1	1	06/28/2016 06:55:22	"TRUCK"	12	"DC_1"	49.192050	16.613180
0	1	1	06/28/2016 09:52:02	"TRUCK"	16	"DC_4"	51.922900	4.470560
0	1	1	06/29/2016 00:00:00	"TRUCK"	13	"DC_6"	43.295020	5.374470
0	1	1	06/29/2016 00:00:00	"TRUCK"	23	"DC_6"	43.295020	5.374470
0	1	1	06/29/2016 00:00:00	"TRUCK"	22	"DC_4"	51.922900	4.470560
0	1	1	06/29/2016 04:12:59	"TRUCK"	22	"CZ_1"	51.513340	-0.088930
0	1	1	06/29/2016 07:57:55	"TRUCK"	13	"CZ_4"	41.890550	12.494260
0	1	1	06/29/2016 08:25:58	"TRUCK"	22	"DC_4"	51.922900	4.470560
0	1	1	06/29/2016 10:42:34	"TRUCK"	23	"CZ_3"	40.416690	-3.700320
0	1	1	06/29/2016 15:55:50	"TRUCK"	13	"DC_6"	43.295020	5.374470
0	1	1	06/29/2016 21:25:08	"TRUCK"	23	"DC_6"	43.295020	5.374470
0	1	1	06/30/2016 00:00:00	"TRUCK"	24	"DC_1"	49.192050	16.613180
0	1	1	06/30/2016 00:00:00	"TRUCK"	17	"DC_4"	51.922900	4.470560
0	1	1	06/30/2016 05:27:21	"TRUCK"	17	"CZ_6"	53.553850	9.991670
0	1	1	06/30/2016 05:43:28	"TRUCK"	24	"CZ_2"	52.523430	13.411450
0	1	1	06/30/2016 10:54:42	"TRUCK"	17	"DC_4"	51.922900	4.470560
0	1	1	06/30/2016 11:26:56	"TRUCK"	24	"DC_1"	49.192050	16.613180
0	1	1	07/01/2016 00:00:00	"TRUCK"	20	"DC_1"	49.192050	16.613180
0	1	1	07/01/2016 00:00:00	"TRUCK"	29	"DC_4"	51.922900	4.470560
0	1	1	07/01/2016 03:27:41	"TRUCK"	20	"CZ_7"	47.498150	19.040550
0	1	1	07/01/2016 04:56:01	"TRUCK"	29	"CZ_5"	48.856910	2.350850
0	1	1	07/01/2016 06:55:22	"TRUCK"	20	"DC_1"	49.192050	16.613180
0	1	1	07/01/2016 09:52:02	"TRUCK"	29	"DC_4"	51.922900	4.470560
0	1	1	07/02/2016 00:00:00	"TRUCK"	25	"DC_6"	43.295020	5.374470
0	1	1	07/02/2016 00:00:00	"TRUCK"	21	"DC_6"	43.295020	5.374470
0	1	1	07/02/2016 07:57:55	"TRUCK"	25	"CZ_4"	41.890550	12.494260
0	1	1	07/02/2016 10:42:34	"TRUCK"	21	"CZ_3"	40.416690	-3.700320
0	1	1	07/02/2016 15:55:50	"TRUCK"	25	"DC_6"	43.295020	5.374470
0	1	1	07/02/2016 21:25:08	"TRUCK"	21	"DC_6"	43.295020	5.374470
0	1	1	07/03/2016 00:00:00	"TRUCK"	26	"DC_4"	51.922900	4.470560
0	1	1	07/03/2016 00:00:00	"TRUCK"	19	"DC_4"	51.922900	4.470560
0	1	1	07/03/2016 00:00:00	"TRUCK"	27	"DC_4"	51.922900	4.470560
0	1	1	07/03/2016 04:12:59	"TRUCK"	27	"CZ_1"	51.513340	-0.088930
0	1	1	07/03/2016 04:56:01	"TRUCK"	19	"CZ_5"	48.856910	2.350850
0	1	1	07/03/2016 05:27:21	"TRUCK"	26	"CZ_6"	53.553850	9.991670
0	1	1	07/03/2016 08:25:58	"TRUCK"	27	"DC_4"	51.922900	4.470560
0	1	1	07/03/2016 09:52:02	"TRUCK"	19	"DC_4"	51.922900	4.470560
0	1	1	07/03/2016 10:54:42	"TRUCK"	26	"DC_4"	51.922900	4.470560
0	1	1	07/04/2016 00:00:00	"TRUCK"	32	"DC_1"	49.192050	16.613180
0	1	1	07/04/2016 00:00:00	"TRUCK"	34	"DC_1"	49.192050	16.613180
0	1	1	07/04/2016 05:43:28	"TRUCK"	34	"CZ_2"	52.523430	13.411450
0	1	1	07/04/2016 06:04:44	"TRUCK"	32	"CZ_8"	52.234970	21.008490
0	1	1	07/04/2016 11:26:56	"TRUCK"	34	"DC_1"	49.192050	16.613180
0	1	1	07/04/2016 12:09:28	"TRUCK"	32	"DC_1"	49.192050	16.613180
0	1	1	07/05/2016 00:00:00	"TRUCK"	43	"DC_6"	43.295020	5.374470
0	1	1	07/05/2016 00:00:00	"TRUCK"	28	"DC_6"	43.295020	5.374470
0	1	1	07/05/2016 00:00:00	"TRUCK"	36	"DC_4"	51.922900	4.470560
0	1	1	07/05/2016 04:12:59	"TRUCK"	36	"CZ_1"	51.513340	-0.088930
0	1	1	07/05/2016 07:57:55	"TRUCK"	43	"CZ_4"	41.890550	12.494260
0	1	1	07/05/2016 08:25:58	"TRUCK"	36	"DC_4"	51.922900	4.470560
0	1	1	07/05/2016 10:42:34	"TRUCK"	28	"CZ_3"	40.416690	-3.700320
0	1	1	07/05/2016 15:55:50	"TRUCK"	43	"DC_6"	43.295020	5.374470
0	1	1	07/05/2016 21:25:08	"TRUCK"	28	"DC_6"	43.295020	5.374470
0	1	1	07/06/2016 00:00:00	"TRUCK"	42	"DC_1"	49.192050	16.613180
0	1	1	07/06/2016 00:00:00	"TRUCK"	30	"DC_1"	49.192050	16.613180
0	1	1	07/06/2016 00:00:00	"TRUCK"	33	"DC_4"	51.922900	4.470560
0	1	1	07/06/2016 03:27:41	"TRUCK"	42	"CZ_7"	47.498150	19.040550
0	1	1	07/06/2016 04:56:01	"TRUCK"	33	"CZ_5"	48.856910	2.350850
0	1	1	07/06/2016 06:04:44	"TRUCK"	30	"CZ_8"	52.234970	21.008490
0	1	1	07/06/2016 06:55:22	"TRUCK"	42	"DC_1"	49.192050	16.613180
0	1	1	07/06/2016 09:52:02	"TRUCK"	33	"DC_4"	51.922900	4.470560
0	1	1	07/06/2016 12:09:28	"TRUCK"	30	"DC_1"	49.192050	16.613180
0	1	1	07/07/2016 00:00:00	"TRUCK"	31	"DC_6"	43.295020	5.374470
0	1	1	07/07/2016 00:00:00	"TRUCK"	35	"DC_1"	49.192050	16.613180
0	1	1	07/07/2016 05:43:28	"TRUCK"	35	"CZ_2"	52.523430	13.411450
0	1	1	07/07/2016 07:57:55	"TRUCK"	31	"CZ_4"	41.890550	12.494260
0	1	1	07/07/2016 11:26:56	"TRUCK"	35	"DC_1"	49.192050	16.613180
0	1	1	07/07/2016 15:55:50	"TRUCK"	31	"DC_6"	43.295020	5.374470
0	1	1	07/08/2016 00:00:00	"TRUCK"	37	"DC_6"	43.295020	5.374470
0	1	1	07/08/2016 10:42:34	"TRUCK"	37	"CZ_3"	40.416690	-3.700320
0	1	1	07/08/2016 21:25:08	"TRUCK"	37	"DC_6"	43.295020	5.374470
0	1	1	07/09/2016 00:00:00	"TRUCK"	45	"DC_1"	49.192050	16.613180
0	1	1	07/09/2016 00:00:00	"TRUCK"	39	"DC_1"	49.192050	16.613180
0	1	1	07/09/2016 00:00:00	"TRUCK"	44	"DC_4"	51.922900	4.470560
0	1	1	07/09/2016 00:00:00	"TRUCK"	40	"DC_4"	51.922900	4.470560
0	1	1	07/09/2016 00:00:00	"TRUCK"	41	"DC_4"	51.922900	4.470560
0	1	1	07/09/2016 03:27:41	"TRUCK"	39	"CZ_7"	47.498150	19.040550
0	1	1	07/09/2016 04:12:59	"TRUCK"	41	"CZ_1"	51.513340	-0.088930
0	1	1	07/09/2016 04:56:01	"TRUCK"	44	"CZ_5"	48.856910	2.350850
0	1	1	07/09/2016 05:27:21	"TRUCK"	40	"CZ_6"	53.553850	9.991670
0	1	1	07/09/2016 06:04:44	"TRUCK"	45	"CZ_8"	52.234970	21.008490
0	1	1	07/09/2016 06:55:22	"TRUCK"	39	"DC_1"	49.192050	16.613180
0	1	1	07/09/2016 08:25:58	"TRUCK"	41	"DC_4"	51.922900	4.470560
0	1	1	07/09/2016 09:52:02	"TRUCK"	44	"DC_4"	51.922900	4.470560
0	1	1	07/09/2016 10:54:42	"TRUCK"	40	"DC_4"	51.922900	4.470560
0	1	1	07/09/2016 12:09:28	"TRUCK"	45	"DC_1"	49.192050	16.613180
0	1	1	07/10/2016 00:00:00	"TRUCK"	38	"DC_6"	43.295020	5.374470
0	1	1	07/10/2016 00:00:00	"TRUCK"	46	"DC_1"	49.192050	16.613180
0	1	1	07/10/2016 05:43:28	"TRUCK"	46	"CZ_2"	52.523430	13.411450
0	1	1	07/10/2016 07:57:55	"TRUCK"	38	"CZ_4"	41.890550	12.494260
0	1	1	07/10/2016 11:26:56	"TRUCK"	46	"DC_1"	49.192050	16.613180
0	1	1	07/10/2016 15:55:50	"TRUCK"	38	"DC_6"	43.295020	5.374470
0	1	1	07/11/2016 00:00:00	"TRUCK"	48	"DC_6"	43.295020	5.374470
0	1	1	07/11/2016 00:00:00	"TRUCK"	50	"DC_4"	51.922900	4.470560
0	1	1	07/11/2016 04:12:59	"TRUCK"	50	"CZ_1"	51.513340	-0.088930
0	1	1	07/11/2016 08:25:58	"TRUCK"	50	"DC_4"	51.922900	4.470560
0	1	1	07/11/2016 10:42:34	"TRUCK"	48	"CZ_3"	40.416690	-3.700320
0	1	1	07/11/2016 21:25:08	"TRUCK"	48	"DC_6"	43.295020	5.374470
0	1	1	07/12/2016 00:00:00	"TRUCK"	56	"DC_1"	49.192050	16.613180
0	1	1	07/12/2016 00:00:00	"TRUCK"	49	"DC_4"	51.922900	4.470560
0	1	1	07/12/2016 03:27:41	"TRUCK"	56	"CZ_7"	47.498150	19.040550
0	1	1	07/12/2016 04:56:01	"TRUCK"	49	"CZ_5"	48.856910	2.350850
0	1	1	07/12/2016 06:55:22	"TRUCK"	56	"DC_1"	49.192050	16.613180
0	1	1	07/12/2016 09:52:02	"TRUCK"	49	"DC_4"	51.922900	4.470560
0	1	1	07/13/2016 00:00:00	"TRUCK"	51	"DC_6"	43.295020	5.374470
0	1	1	07/13/2016 00:00:00	"TRUCK"	52	"DC_1"	49.192050	16.613180
0	1	1	07/13/2016 00:00:00	"TRUCK"	47	"DC_1"	49.192050	16.613180
0	1	1	07/13/2016 00:00:00	"TRUCK"	57	"DC_4"	51.922900	4.470560
0	1	1	07/13/2016 05:27:21	"TRUCK"	57	"CZ_6"	53.553850	9.991670
0	1	1	07/13/2016 05:43:28	"TRUCK"	47	"CZ_2"	52.523430	13.411450
0	1	1	07/13/2016 06:04:44	"TRUCK"	52	"CZ_8"	52.234970	21.008490
0	1	1	07/13/2016 07:57:55	"TRUCK"	51	"CZ_4"	41.890550	12.494260
0	1	1	07/13/2016 10:54:42	"TRUCK"	57	"DC_4"	51.922900	4.470560
0	1	1	07/13/2016 11:26:56	"TRUCK"	47	"DC_1"	49.192050	16.613180
0	1	1	07/13/2016 12:09:28	"TRUCK"	52	"DC_1"	49.192050	16.613180
0	1	1	07/13/2016 15:55:50	"TRUCK"	51	"DC_6"	43.295020	5.374470
0	1	1	07/14/2016 00:00:00	"TRUCK"	55	"DC_6"	43.295020	5.374470
0	1	1	07/14/2016 00:00:00	"TRUCK"	58	"DC_4"	51.922900	4.470560
0	1	1	07/14/2016 04:12:59	"TRUCK"	58	"CZ_1"	51.513340	-0.088930
0	1	1	07/14/2016 08:25:58	"TRUCK"	58	"DC_4"	51.922900	4.470560
0	1	1	07/14/2016 10:42:34	"TRUCK"	55	"CZ_3"	40.416690	-3.700320
0	1	1	07/14/2016 21:25:08	"TRUCK"	55	"DC_6"	43.295020	5.374470
0	1	1	07/15/2016 00:00:00	"TRUCK"	54	"DC_1"	49.192050	16.613180
0	1	1	07/15/2016 00:00:00	"TRUCK"	59	"DC_1"	49.192050	16.613180
0	1	1	07/15/2016 00:00:00	"TRUCK"	67	"DC_4"	51.922900	4.470560
0	1	1	07/15/2016 03:27:41	"TRUCK"	59	"CZ_7"	47.498150	19.040550
0	1	1	07/15/2016 04:56:01	"TRUCK"	67	"CZ_5"	48.856910	2.350850
0	1	1	07/15/2016 05:43:28	"TRUCK"	54	"CZ_2"	52.523430	13.411450
0	1	1	07/15/2016 06:55:22	"TRUCK"	59	"DC_1"	49.192050	16.613180
0	1	1	07/15/2016 09:52:02	"TRUCK"	67	"DC_4"	51.922900	4.470560
0	1	1	07/15/2016 11:26:56	"TRUCK"	54	"DC_1"	49.192050	16.613180
0	1	1	07/16/2016 00:00:00	"TRUCK"	65	"DC_6"	43.295020	5.374470
0	1	1	07/16/2016 00:00:00	"TRUCK"	53	"DC_4"	51.922900	4.470560
0	1	1	07/16/2016 05:27:21	"TRUCK"	53	"CZ_6"	53.553850	9.991670
0	1	1	07/16/2016 07:57:55	"TRUCK"	65	"CZ_4"	41.890550	12.494260
0	1	1	07/16/2016 10:54:42	"TRUCK"	53	"DC_4"	51.922900	4.470560
0	1	1	07/16/2016 15:55:50	"TRUCK"	65	"DC_6"	43.295020	5.374470
0	1	1	07/17/2016 00:00:00	"TRUCK"	61	"DC_6"	43.295020	5.374470
0	1	1	07/17/2016 00:00:00	"TRUCK"	66	"DC_4"	51.922900	4.470560
0	1	1	07/17/2016 04:12:59	"TRUCK"	66	"CZ_1"	51.513340	-0.088930
0	1	1	07/17/2016 08:25:58	"TRUCK"	66	"DC_4"	51.922900	4.470560
0	1	1	07/17/2016 10:42:34	"TRUCK"	61	"CZ_3"	40.416690	-3.700320
0	1	1	07/17/2016 21:25:08	"TRUCK"	61	"DC_6"	43.295020	5.374470
0	1	1	07/18/2016 00:00:00	"TRUCK"	62	"DC_1"	49.192050	16.613180
0	1	1	07/18/2016 05:43:28	"TRUCK"	62	"CZ_2"	52.523430	13.411450
0	1	1	07/18/2016 11:26:56	"TRUCK"	62	"DC_1"	49.192050	16.613180
0	1	1	07/19/2016 00:00:00	"TRUCK"	60	"DC_6"	43.295020	5.374470
0	1	1	07/19/2016 00:00:00	"TRUCK"	64	"DC_1"	49.192050	16.613180
0	1	1	07/19/2016 00:00:00	"TRUCK"	63	"DC_4"	51.922900	4.470560
0	1	1	07/19/2016 05:27:21	"TRUCK"	63	"CZ_6"	53.553850	9.991670
0	1	1	07/19/2016 06:04:44	"TRUCK"	64	"CZ_8"	52.234970	21.008490
0	1	1	07/19/2016 07:57:55	"TRUCK"	60	"CZ_4"	41.890550	12.494260
0	1	1	07/19/2016 10:54:42	"TRUCK"	63	"DC_4"	51.922900	4.470560
0	1	1	07/19/2016 12:09:28	"TRUCK"	64	"DC_1"	49.192050	16.613180
0	1	1	07/19/2016 15:55:50	"TRUCK"	60	"DC_6"	43.295020	5.374470
0	1	1	07/20/2016 00:00:00	"TRUCK"	70	"DC_6"	43.295020	5.374470
0	1	1	07/20/2016 00:00:00	"TRUCK"	71	"DC_4"	51.922900	4.470560
0	1	1	07/20/2016 04:12:59	"TRUCK"	71	"CZ_1"	51.513340	-0.088930
0	1	1	07/20/2016 08:25:58	"TRUCK"	71	"DC_4"	51.922900	4.470560
0	1	1	07/20/2016 10:42:34	"TRUCK"	70	"CZ_3"	40.416690	-3.700320
0	1	1	07/20/2016 21:25:08	"TRUCK"	70	"DC_6"	43.295020	5.374470
0	1	1	07/21/2016 00:00:00	"TRUCK"	73	"DC_1"	49.192050	16.613180
0	1	1	07/21/2016 06:04:44	"TRUCK"	73	"CZ_8"	52.234970	21.008490
0	1	1	07/21/2016 12:09:28	"TRUCK"	73	"DC_1"	49.192050	16.613180
0	1	1	07/23/2016 00:00:00	"TRUCK"	69	"DC_6"	43.295020	5.374470
0	1	1	07/23/2016 00:00:00	"TRUCK"	75	"DC_4"	51.922900	4.470560
0	1	1	07/23/2016 04:12:59	"TRUCK"	75	"CZ_1"	51.513340	-0.088930
0	1	1	07/23/2016 08:25:58	"TRUCK"	75	"DC_4"	51.922900	4.470560
0	1	1	07/23/2016 10:42:34	"TRUCK"	69	"CZ_3"	40.416690	-3.700320
0	1	1	07/23/2016 21:25:08	"TRUCK"	69	"DC_6"	43.295020	5.374470
0	1	1	07/24/2016 00:00:00	"TRUCK"	74	"DC_1"	49.192050	16.613180
0	1	1	07/24/2016 00:00:00	"TRUCK"	78	"DC_1"	49.192050	16.613180
0	1	1	07/24/2016 00:00:00	"TRUCK"	83	"DC_1"	49.192050	16.613180
0	1	1	07/24/2016 00:00:00	"TRUCK"	72	"DC_4"	51.922900	4.470560
0	1	1	07/24/2016 03:27:41	"TRUCK"	74	"CZ_7"	47.498150	19.040550
0	1	1	07/24/2016 04:56:01	"TRUCK"	72	"CZ_5"	48.856910	2.350850
0	1	1	07/24/2016 05:43:28	"TRUCK"	83	"CZ_2"	52.523430	13.411450
0	1	1	07/24/2016 06:04:44	"TRUCK"	78	"CZ_8"	52.234970	21.008490
0	1	1	07/24/2016 06:55:22	"TRUCK"	74	"DC_1"	49.192050	16.613180
0	1	1	07/24/2016 09:52:02	"TRUCK"	72	"DC_4"	51.922900	4.470560
0	1	1	07/24/2016 11:26:56	"TRUCK"	83	"DC_1"	49.192050	16.613180
0	1	1	07/24/2016 12:09:28	"TRUCK"	78	"DC_1"	49.192050	16.613180
0	1	1	07/25/2016 00:00:00	"TRUCK"	68	"DC_6"	43.295020	5.374470
0	1	1	07/25/2016 00:00:00	"TRUCK"	87	"DC_4"	51.922900	4.470560
0	1	1	07/25/2016 05:27:21	"TRUCK"	87	"CZ_6"	53.553850	9.991670
0	1	1	07/25/2016 07:57:55	"TRUCK"	68	"CZ_4"	41.890550	12.494260
0	1	1	07/25/2016 10:54:42	"TRUCK"	87	"DC_4"	51.922900	4.470560
0	1	1	07/25/2016 15:55:50	"TRUCK"	68	"DC_6"	43.295020	5.374470
0	1	1	07/26/2016 00:00:00	"TRUCK"	76	"DC_4"	51.922900	4.470560
0	1	1	07/26/2016 04:12:59	"TRUCK"	76	"CZ_1"	51.513340	-0.088930
0	1	1	07/26/2016 08:25:58	"TRUCK"	76	"DC_4"	51.922900	4.470560
0	1	1	07/27/2016 00:00:00	"TRUCK"	82	"DC_6"	43.295020	5.374470
0	1	1	07/27/2016 00:00:00	"TRUCK"	81	"DC_1"	49.192050	16.613180
0	1	1	07/27/2016 00:00:00	"TRUCK"	80	"DC_4"	51.922900	4.470560
0	1	1	07/27/2016 03:27:41	"TRUCK"	81	"CZ_7"	47.498150	19.040550
0	1	1	07/27/2016 04:56:01	"TRUCK"	80	"CZ_5"	48.856910	2.350850
0	1	1	07/27/2016 06:55:22	"TRUCK"	81	"DC_1"	49.192050	16.613180
0	1	1	07/27/2016 09:52:02	"TRUCK"	80	"DC_4"	51.922900	4.470560
0	1	1	07/27/2016 10:42:34	"TRUCK"	82	"CZ_3"	40.416690	-3.700320
0	1	1	07/27/2016 21:25:08	"TRUCK"	82	"DC_6"	43.295020	5.374470
0	1	1	07/28/2016 00:00:00	"TRUCK"	85	"DC_1"	49.192050	16.613180
0	1	1	07/28/2016 06:04:44	"TRUCK"	85	"CZ_8"	52.234970	21.008490
0	1	1	07/28/2016 12:09:28	"TRUCK"	85	"DC_1"	49.192050	16.613180
0	1	1	07/29/2016 00:00:00	"TRUCK"	77	"DC_6"	43.295020	5.374470
0	1	1	07/29/2016 00:00:00	"TRUCK"	84	"DC_6"	43.295020	5.374470
0	1	1	07/29/2016 00:00:00	"TRUCK"	79	"DC_4"	51.922900	4.470560
0	1	1	07/29/2016 04:12:59	"TRUCK"	79	"CZ_1"	51.513340	-0.088930
0	1	1	07/29/2016 07:57:55	"TRUCK"	84	"CZ_4"	41.890550	12.494260
0	1	1	07/29/2016 08:25:58	"TRUCK"	79	"DC_4"	51.922900	4.470560
0	1	1	07/29/2016 10:42:34	"TRUCK"	77	"CZ_3"	40.416690	-3.700320
0	1	1	07/29/2016 15:55:50	"TRUCK"	84	"DC_6"	43.295020	5.374470
0	1	1	07/29/2016 21:25:08	"TRUCK"	77	"DC_6"	43.295020	5.374470
0	1	1	07/30/2016 00:00:00	"TRUCK"	86	"DC_1"	49.192050	16.613180
0	1	1	07/30/2016 00:00:00	"TRUCK"	90	"DC_1"	49.192050	16.613180
0	1	1	07/30/2016 03:27:41	"TRUCK"	90	"CZ_7"	47.498150	19.040550
0	1	1	07/30/2016 05:43:28	"TRUCK"	86	"CZ_2"	52.523430	13.411450
0	1	1	07/30/2016 06:55:22	"TRUCK"	90	"DC_1"	49.192050	16.613180
0	1	1	07/30/2016 11:26:56	"TRUCK"	86	"DC_1"	49.192050	16.613180
0	1	1	07/31/2016 00:00:00	"TRUCK"	92	"DC_1"	49.192050	16.613180
0	1	1	07/31/2016 00:00:00	"TRUCK"	88	"DC_4"	51.922900	4.470560
0	1	1	07/31/2016 00:00:00	"TRUCK"	97	"DC_4"	51.922900	4.470560
0	1	1	07/31/2016 04:56:01	"TRUCK"	88	"CZ_5"	48.856910	2.350850
0	1	1	07/31/2016 05:27:21	"TRUCK"	97	"CZ_6"	53.553850	9.991670
0	1	1	07/31/2016 06:04:44	"TRUCK"	92	"CZ_8"	52.234970	21.008490
0	1	1	07/31/2016 09:52:02	"TRUCK"	88	"DC_4"	51.922900	4.470560
0	1	1	07/31/2016 10:54:42	"TRUCK"	97	"DC_4"	51.922900	4.470560
0	1	1	07/31/2016 12:09:28	"TRUCK"	92	"DC_1"	49.192050	16.613180
0	1	1	08/01/2016 00:00:00	"TRUCK"	98	"DC_6"	43.295020	5.374470
0	1	1	08/01/2016 00:00:00	"TRUCK"	93	"DC_6"	43.295020	5.374470
0	1	1	08/01/2016 07:57:55	"TRUCK"	93	"CZ_4"	41.890550	12.494260
0	1	1	08/01/2016 10:42:34	"TRUCK"	98	"CZ_3"	40.416690	-3.700320
0	1	1	08/01/2016 15:55:50	"TRUCK"	93	"DC_6"	43.295020	5.374470
0	1	1	08/01/2016 21:25:08	"TRUCK"	98	"DC_6"	43.295020	5.374470
0	1	1	08/02/2016 00:00:00	"TRUCK"	89	"DC_4"	51.922900	4.470560
0	1	1	08/02/2016 00:00:00	"TRUCK"	91	"DC_4"	51.922900	4.470560
0	1	1	08/02/2016 00:00:00	"TRUCK"	94	"DC_4"	51.922900	4.470560
0	1	1	08/02/2016 04:12:59	"TRUCK"	94	"CZ_1"	51.513340	-0.088930
0	1	1	08/02/2016 04:56:01	"TRUCK"	89	"CZ_5"	48.856910	2.350850
0	1	1	08/02/2016 05:27:21	"TRUCK"	91	"CZ_6"	53.553850	9.991670
0	1	1	08/02/2016 08:25:58	"TRUCK"	94	"DC_4"	51.922900	4.470560
0	1	1	08/02/2016 09:52:02	"TRUCK"	89	"DC_4"	51.922900	4.470560
0	1	1	08/02/2016 10:54:42	"TRUCK"	91	"DC_4"	51.922900	4.470560
0	1	1	08/03/2016 00:00:00	"TRUCK"	5	"DC_1"	49.192050	16.613180
0	1	1	08/03/2016 00:00:00	"TRUCK"	4	"DC_1"	49.192050	16.613180
0	1	1	08/03/2016 00:00:00	"TRUCK"	96	"DC_1"	49.192050	16.613180
0	1	1	08/03/2016 03:27:41	"TRUCK"	4	"CZ_7"	47.498150	19.040550
0	1	1	08/03/2016 05:43:28	"TRUCK"	5	"CZ_2"	52.523430	13.411450
0	1	1	08/03/2016 06:04:44	"TRUCK"	96	"CZ_8"	52.234970	21.008490
0	1	1	08/03/2016 06:55:22	"TRUCK"	4	"DC_1"	49.192050	16.613180
0	1	1	08/03/2016 11:26:56	"TRUCK"	5	"DC_1"	49.192050	16.613180
0	1	1	08/03/2016 12:09:28	"TRUCK"	96	"DC_1"	49.192050	16.613180
